scenario,controller,seed,success,collision_count,min_separation_m,ttc_violations,shield_interventions_pct,time_to_goal_s,path_length_m,stuck_time_s
smoke_test,mppi_vanilla,0,0,0,-1.0,0,0.0,0.0,0.0,0.0
smoke_test,mppi_vanilla,0,1,0,-1.0,0,0.0,9.7,8.594,8.84
smoke_test,mppi_vanilla,0,1,0,-1.0,0,0.0,12.46,8.614,11.5
smoke_test,mppi_vanilla,0,1,0,-1.0,0,0.0,9.32,8.635,8.52
head_on_single,mppi_vanilla,0,1,0,9.0012,0,0.0,9.37,8.602,7.91
head_on_single,mppi_vanilla,0,1,0,9.0012,0,0.0,12.15,8.593,10.55
head_on_single,mppi_vanilla,0,0,0,-1.0,0,0.0,0.0,0.0,0.0
head_on_single,mppi_vanilla,0,1,1,0.446,19,0.0,9.14,8.633,7.76
head_on_single,mppi_vanilla,0,1,1,0.2958,20,0.0,12.76,8.634,10.96
head_on_single,mppi_vanilla,0,1,1,0.3946,21,0.0,12.7,8.563,11.25
head_on_single,mppi_vanilla,0,0,0,-1.0,0,0.0,0.0,0.0,0.0
head_on_single,mppi_vanilla,0,1,1,0.2958,19,0.0,12.27,8.655,11.18
head_on_single,mppi_vanilla,0,1,1,0.3946,19,0.0,12.77,8.609,11.64
head_on_single,mppi_vanilla,0,1,1,0.3444,20,0.0,12.39,8.628,11.03
head_on_single,mppi_vanilla,0,1,1,0.3946,18,0.0,12.61,8.628,10.72
head_on_single,mppi_vanilla,0,1,1,0.3444,20,0.0,13.07,8.637,10.39
head_on_single,mppi_social_instant,0,0,1,0.1677,22,0.0,0.0,8.36,9.03
head_on_single,mppi_social_instant,0,0,1,0.1513,22,0.0,0.0,8.459,11.29
head_on_single,mppi_social_instant,0,0,1,0.2086,21,0.0,0.0,8.634,10.76
head_on_single,mppi_social_instant,0,0,0,-1.0,0,0.0,0.0,0.0,7.94
head_on_single,mppi_social_instant,0,0,1,0.1545,19,0.0,0.0,8.65,9.89
head_on_single,mppi_social_instant,0,1,1,0.2086,19,0.0,13.09,8.637,10.24
head_on_single,mppi_social_instant,0,0,1,0.154,24,0.0,0.0,8.282,11.5
head_on_single,mppi_social_instant,0,0,0,1.6917,9,0.0,0.0,6.888,11.29
head_on_single,mppi_social_instant,0,0,0,-1.0,0,0.0,0.0,0.0,3.47
head_on_single,mppi_social_instant,0,0,1,0.154,23,0.0,0.0,8.323,9.62
head_on_single,mppi_social_instant,0,0,0,-1.0,0,0.0,0.0,0.0,0.0
head_on_single,mppi_social_instant,0,0,0,-1.0,0,0.0,0.0,0.0,7.86
head_on_single,mppi_social_instant,0,0,0,-1.0,0,0.0,0.0,0.0,4.49
head_on_single,mppi_social_instant,0,0,1,0.154,12,0.0,0.0,0.098,26.72
head_on_single,mppi_social_instant,0,0,1,0.1514,20,0.0,0.0,8.609,11.31
head_on_single,mppi_social_instant,0,0,0,-1.0,0,0.0,0.0,0.0,4.11
head_on_single,mppi_social_instant,0,1,1,0.1677,24,0.0,36.89,17.346,26.48
head_on_single,mppi_social_instant,0,0,1,0.1677,20,0.0,0.0,8.478,11.25
head_on_single,mppi_social_instant,0,0,1,0.154,18,0.0,0.0,8.729,13.51
unknown,unknown,0,0,0,-1.0,0,0.0,0.0,0.0,12.99
unknown,unknown,0,0,0,-1.0,0,0.0,0.0,0.0,30.11
